,image_path,question,answer,fact_link,fact
30,./data_v3/images/120100320220622155115.jpg,이미지 속에서 곤충과 동물에 모두 속하는 건 뭐지,나비,"ko.dbpedia/1411,ko.dbpedia/1412","['나비', '강', '곤충']:['나비', '계', '동물']"
31,./data_v3/images/110200720220621132851.jpg,프레첼은 무슨 나라의 음식이니,독일 ,ko.dbpedia/575,"['프레첼', 'subject', '독일_요리']"
32,./data_v3/images/110200520220621173228.jpg,피자는 이탈리아의 무슨 지역에서 유래 했니,나폴리 지역,"ko.dbpedia/580,ko.dbpedia/584","['피자', 'subject', '피자']"
33,./data_v3/images/110400220220621135436.jpg,이미지 속 소방 설비는 무엇이니,소화전,ko.dbpedia/313,"['소화전', 'subject', '소방_설비']"
34,./data_v3/images/110101620220620160957.jpg,이미지에서 군악에 사용되며 음역이 180인 악기는 뭘까,트럼펫,"ko.dbpedia/740,ko.dbpedia/742","['트럼펫', 'subject', '군악']"
35,./data_v3/images/120100220220624114222.jpg,벌은 무엇에 속하는 절지동물일까,벌목,"ko.dbpedia/1543,ko.dbpedia/1547","['벌_(곤충)', 'subject', '벌목']:['벌_(곤충)', '문', '절지동물']"
36,./data_v3/images/120100220220622151114.jpg,벌은 무슨 동물이야,절지동물,ko.dbpedia/1547,"['벌_(곤충)', '문', '절지동물']"
37,./data_v3/images/120100120220622141317.jpg,개미는 무엇에 해당할까,절지동물,ko.dbpedia/1368,"['개미', '문', '절지동물']"
38,./data_v3/images/110101820220621132056.jpg,건반 악기에 속하는 악기 이름은 뭘까,키보드,ko.dbpedia/731,"['키보드_(악기)', 'subject', '건반_악기']"
39,./data_v3/images/110200320220621152815.jpg,이미지의 길거리 음식은 뭘까,햄버거,ko.dbpedia/595,"['햄버거', 'subject', '길거리_음식']"
40,./data_v3/images/110100520220620175514.jpg,안경을 발명한 나라는 어디일까,이탈리아,ko.dbpedia/5337,"['안경', 'subject', '이탈리아의_발명품']"
41,./data_v3/images/110101820220621131550.jpg,키보드는 어떤 악기야,전자 악기,ko.dbpedia/732,"['키보드_(악기)', 'subject', '전자_악기']"
42,./data_v3/images/110101820220621183236.jpg,피아노나 오르간 같은 전통 악기가 아닌 신종 건반 악기는 뭐야,키보드,"ko.dbpedia/730,ko.dbpedia/731","['키보드_(악기)', 'subject', '건반_악기']"
43,./data_v3/images/110400220220621141650.jpg,이미지 속 도로 시설물은 뭐야,소화전,ko.dbpedia/314,"['소화전', 'subject', '도로_시설물']"
44,./data_v3/images/110200320220621154818.jpg,이미지 속 독일 요리는 어디에 속할까,길거리 음식,"ko.dbpedia/595,ko.dbpedia/597","['햄버거', 'subject', '길거리_음식']:['햄버거', 'subject', '독일_요리']"
45,./data_v3/images/110101320220620125649.jpg,이미지 속의 악기는 무슨 악기에 해당할까,건반 악기,ko.dbpedia/758,"['피아노', 'subject', '건반_악기']"
46,./data_v3/images/110400120220621170305.jpg,진행 또는 정지 등의 신호를 나타내는 장치는 뭐니,신호등,"ko.dbpedia/315,ko.dbpedia/316","['신호등', 'subject', '신호등']"
47,./data_v3/images/110101720220620181417.jpg,바이올린은 어떤 악기야,현명악기,ko.dbpedia/670,"['바이올린', 'subject', '현명악기']"
48,./data_v3/images/110101820220621112958.jpg,키보디스트가 연주하는 악기는 어디에 속하니,전자 악기,"ko.dbpedia/730,ko.dbpedia/732","['키보드_(악기)', 'subject', '전자_악기']"
49,./data_v3/images/110200320220621154615.jpg,이미지 속 독일 요리는 무엇이니,햄버거,ko.dbpedia/597,"['햄버거', 'subject', '독일_요리']"
50,./data_v3/images/110200320220621153337.jpg,이미지 속 독일 요리의 샌드위치는 뭐야,햄버거,"ko.dbpedia/597,ko.dbpedia/598","['햄버거', 'subject', '독일_요리']:['햄버거', 'subject', '샌드위치']"
51,./data_v3/images/110200920220621175324.jpg,이미지 속 중국 요리는 뭐야,케이크,ko.dbpedia/571,"['케이크', 'subject', '중국_요리']"
52,./data_v3/images/110200320220621160150.jpg,이미지 속 샌드위치는 뭐야,햄버거,ko.dbpedia/598,"['햄버거', 'subject', '샌드위치']"
53,./data_v3/images/110100820220620131009.jpg,음역이 130인 현명악기는 뭐야,기타,"ko.dbpedia/648,ko.dbpedia/650","['기타', 'subject', '현명악기']"
54,./data_v3/images/120100420220622174840.jpg,이미지 내에 잠자리목인 생물은 무슨 동물이야,절지동물,"ko.dbpedia/1623,ko.dbpedia/1627","['잠자리', 'subject', '잠자리목']:['잠자리', '문', '절지동물']"
55,./data_v3/images/110101320220620115839.jpg,피아노의 발명가는 누구니,바르톨로메오 크리스토포리,"ko.dbpedia/753,ko.dbpedia/756","['피아노', 'subject', '피아노']"
56,./data_v3/images/110101720220620173831.jpg,바이올린은 몇 도로 조율하는 찰현악기일까,완전 5도,ko.dbpedia/671,"['바이올린', 'subject', '현악기']"
57,./data_v3/images/110101820220621131930.jpg,키보드는 무슨 악기니,전자 악기,ko.dbpedia/732,"['키보드_(악기)', 'subject', '전자_악기']"
58,./data_v3/images/110500120220622131811.jpg,열매채소에 해당하는 것은 무엇일까,호박,ko.dbpedia/8793,"['호박', 'subject', '열매채소']"
59,./data_v3/images/120100420220622171506.jpg,벽돌은 어디에 쓰이니,건설,ko.dbpedia/4149,"['벽돌', 'subject', '건설']"
60,./data_v3/images/110200720220621131542.jpg,이미지 속 독일의 길거리 음식은 뭐니,프레첼,"ko.dbpedia/575,ko.dbpedia/576","['프레첼', 'subject', '독일_요리']:['프레첼', 'subject', '길거리_음식']"
61,./data_v3/images/110100520220620174054.jpg,이미지 속 타악기는 뭐야,드럼 세트,ko.dbpedia/654,"['드럼_세트', 'subject', '타악기']"
62,./data_v3/images/110200720220621131158.jpg,이미지 속의 길거리 음식 이름은 뭐지,프레첼,ko.dbpedia/576,"['프레첼', 'subject', '길거리_음식']"
63,./data_v3/images/110100820220620162825.jpg,이미지 속 음역이 130인 사물은 무슨 악기야,현명악기,"ko.dbpedia/648,ko.dbpedia/650","['기타', 'subject', '현명악기']"
64,./data_v3/images/120100420220622182946.jpg,잠자리는 무슨 동물이야,절지동물,ko.dbpedia/1627,"['잠자리', '문', '절지동물']"
65,./data_v3/images/110100120220620134116.jpg,아코디언은 무슨 악기에 해당할까,기명악기,ko.dbpedia/690,"['아코디언', 'subject', '기명악기']"
66,./data_v3/images/110100720220620180017.jpg,호른은 무슨 악기야,기명악기,ko.dbpedia/772,"['호른', 'subject', '기명악기']"
67,./data_v3/images/120100320220622165337.jpg,생물학자 석주명이 연구한 나비는 무슨 동물일까,절지동물,"ko.dbpedia/1408,ko.dbpedia/1414","['나비', '문', '절지동물']"
68,./data_v3/images/120100320220622155943.jpg,나비는 무슨 아목에 속하는 곤충일까,선훼아목,ko.dbpedia/1415,"['나비', '아목', '선훼아목']"
69,./data_v3/images/110500120220621170226.jpg,이미지 속 식육목 동물은 무슨 부류일까,포유류,"ko.dbpedia/3255,ko.dbpedia/3257","['고양이', '강', '포유류']:['고양이', '목', '식육목']"
70,./data_v3/images/110101220220620153433.jpg,오보에는 무슨 악기야,목관 악기,ko.dbpedia/702,"['오보에', 'subject', '목관_악기']"
71,./data_v3/images/110101420220620134846.jpg,색소폰을 발명한 나라는 어디일까,벨기에,ko.dbpedia/680,"['색소폰', 'subject', '벨기에의_발명품']"
72,./data_v3/images/110200520220621180312.jpg,피자는 어느 나라 요리야,이탈리아,ko.dbpedia/582,"['피자', 'subject', '이탈리아_요리']"
73,./data_v3/images/110101020220620163515.jpg,이미지 속 아일랜드의 상징인 악기가 뭐야,하프,ko.dbpedia/765,"['하프', 'subject', '아일랜드의_상징']"
74,./data_v3/images/110100820220620160010.jpg,전래되어오는 기타의 조율법은 몇 가지가 넘을까,20,"ko.dbpedia/646,ko.dbpedia/649","['기타', 'subject', '기타']"
75,./data_v3/images/120100120220622135404.jpg,개미는 무엇에 속해 있니,벌목,ko.dbpedia/1367,"['개미', '목', '벌목_(곤충)']"
76,./data_v3/images/110100520220620174918.jpg,이미지 속 막명악기는 뭐야,드럼,ko.dbpedia/655,"['드럼_세트', 'subject', '막명악기']"
77,./data_v3/images/120100220220622152157.jpg,이미지 속 꿀벌상과에 속하는 곤충은 뭘까,벌,ko.dbpedia/1548,"['벌_(곤충)', '상과', '꿀벌상과']"
78,./data_v3/images/110100520220620175326.jpg,드럼은 어떤 악기일까,타악기,ko.dbpedia/654,"['드럼_세트', 'subject', '타악기']"
79,./data_v3/images/120100320220622162417.jpg,한국에서 나비를 연구한 생물학자는 누구니,석주명,"ko.dbpedia/1408,ko.dbpedia/1410","['나비', 'subject', '나비']"
80,./data_v3/images/110500320220622150213.jpg,이미지 속 자전거는 어느 나라 발명품이야,프랑스,ko.dbpedia/9512,"['자전거', 'subject', '프랑스의_발명품']"
81,./data_v3/images/110400320220621180029.jpg,이미지 속 안전 장비는 뭐야,가드레일,ko.dbpedia/309,"['가드레일', 'subject', '안전_장비']"
82,./data_v3/images/110200820220621135907.jpg,이미지 속 도넛은 어느 나라 요리니,캐나다,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
83,./data_v3/images/110101620220620155723.jpg,트럼펫은 어떤 악기일까,금관 악기,ko.dbpedia/741,"['트럼펫', 'subject', '금관_악기']"
84,./data_v3/images/110400220220621141835.jpg,이미지 속 소방 설비는 무슨 시설물이야,도로,"ko.dbpedia/313,ko.dbpedia/314","['소화전', 'subject', '소방_설비']:['소화전', 'subject', '도로_시설물']"
85,./data_v3/images/110100820220620130012.jpg,기타의 현은 몇 개니,6,"ko.dbpedia/646,ko.dbpedia/649","['기타', 'subject', '기타']"
86,./data_v3/images/110400220220621150000.jpg,이미지 속 소방 설비는 뭐야,소화전,ko.dbpedia/313,"['소화전', 'subject', '소방_설비']"
87,./data_v3/images/110100520220620162312.jpg,드럼 세트는 무엇에 속하니,막명악기,ko.dbpedia/655,"['드럼_세트', 'subject', '막명악기']"
88,./data_v3/images/120100320220622162203.jpg,나비는 무슨 동물이지,절지동물,ko.dbpedia/1414,"['나비', '문', '절지동물']"
89,./data_v3/images/120100120220622145807.jpg,개미는 무슨 목에 속하는 곤충이야,벌목,ko.dbpedia/1367,"['개미', '목', '벌목_(곤충)']"
90,./data_v3/images/110600120220622130848.jpg,테디 베어는 어느 나라의 발명품이니,미국,ko.dbpedia/956,"['테디_베어', 'subject', '미국의_발명품']"
91,./data_v3/images/120100320220622161811.jpg,나비는 무슨 동물이야,절지동물,ko.dbpedia/1414,"['나비', '문', '절지동물']"
92,./data_v3/images/110200820220621142135.jpg,이미지 속 미국 요리에 해당하는 것은 뭐야,도넛,ko.dbpedia/522,"['도넛', 'subject', '미국_요리']"
93,./data_v3/images/110200420220621162336.jpg,핫도그는 어느 나라의 길거리 음식이니,독일,"ko.dbpedia/587,ko.dbpedia/589","['핫도그', 'subject', '독일_요리']:['핫도그', 'subject', '길거리_음식']"
94,./data_v3/images/110101020220620163918.jpg,사람이 앉는 데에 쓰는 가구는 뭐니,의자,ko.dbpedia/4023,"['의자', 'subject', '의자']"
95,./data_v3/images/120100220220624113910.jpg,벌은 어떤 동물이니,꿀벌상과 동물,ko.dbpedia/1548,"['벌_(곤충)', '상과', '꿀벌상과']"
96,./data_v3/images/120100420220622171915.jpg,잠자리는 무엇에 속하는 곤충일까,유시아강,ko.dbpedia/1628,"['잠자리', '아강', '유시아강']"
97,./data_v3/images/110100120220620114216.jpg,아코디언은 무슨 악기야,기명악기,ko.dbpedia/690,"['아코디언', 'subject', '기명악기']"
98,./data_v3/images/110200120220621134624.jpg,사과는 무슨 식물에 속해 있어,장미목,ko.dbpedia/6308,"['사과', '목', '장미목']"
99,./data_v3/images/110101520220620144314.jpg,첼로를 연주하는 사람을 뭐라고 하니,첼리스트,"ko.dbpedia/722,ko.dbpedia/723","['첼로', 'subject', '첼로']"
100,./data_v3/images/110200520220621172920.jpg,피자는 어느 나라의 발명품이니,이탈리아,ko.dbpedia/583,"['피자', 'subject', '이탈리아의_발명품']"
101,./data_v3/images/110200520220621174149.jpg,피자는 어느 나라의 요리일까,이탈리아,ko.dbpedia/582,"['피자', 'subject', '이탈리아_요리']"
102,./data_v3/images/110101320220620112958.jpg,이탈리아에서 발명한 악기는 무엇일까,피아노,ko.dbpedia/757,"['피아노', 'subject', '이탈리아의_발명품']"
103,./data_v3/images/110101020220620143013.jpg,이미지 속 현악기는 어느 나라를 상징하니,아일랜드,"ko.dbpedia/761,ko.dbpedia/765","['하프', 'subject', '아일랜드의_상징']"
104,./data_v3/images/110101820220622105302.jpg,각종 악기의 음색을 전자적으로 합성하여 연주할 수 있는 전자 악기는 뭐니,신시사이저,"ko.dbpedia/9582,ko.dbpedia/9584","['신시사이저', 'subject', '전자_악기']"
105,./data_v3/images/120100320220622160650.jpg,이미지 속 곤충은 뭐야,나비,ko.dbpedia/1411,"['나비', '강', '곤충']"
106,./data_v3/images/110101520220620185436.jpg,이미지 속 금관 악기는 음역이 몇이야,220,"ko.dbpedia/747,ko.dbpedia/748","['트롬본', 'subject', '금관_악기']"
107,./data_v3/images/120100420220622181758.jpg,이미지 속 잠자리목인 생물은 무엇으로도 불리니,살아있는 화석,"ko.dbpedia/1622,ko.dbpedia/1626","['잠자리', 'subject', '살아있는_화석']"
108,./data_v3/images/110200420220621163402.jpg,핫도그는 길쭉한 빵에 기름에 지진 무엇을 끼운 음식이야,소시지,ko.dbpedia/592,"['핫도그', 'subject', '핫도그']"
109,./data_v3/images/110500220220622141723.jpg,문은 무엇을 표현하기 위한 목적을 지닐까,권세,"ko.dbpedia/106,ko.dbpedia/108","['문', 'subject', '문']"
110,./data_v3/images/110200320220621152955.jpg,햄버거는 어느 나라 요리야,독일,ko.dbpedia/597,"['햄버거', 'subject', '독일_요리']"
111,./data_v3/images/110200520220621174713.jpg,피자는 어느 나라 발명품이니,이탈리아,ko.dbpedia/583,"['피자', 'subject', '이탈리아의_발명품']"
112,./data_v3/images/110400220220621143948.jpg,소화전은 어떤 시설물이야,도로 시설물,ko.dbpedia/314,"['소화전', 'subject', '도로_시설물']"
113,./data_v3/images/120100220220622150317.jpg,이미지 속 곤충은 무슨 상과에 속할까,꿀벌상과,"ko.dbpedia/1544,ko.dbpedia/1548","['벌_(곤충)', '강', '곤충']:['벌_(곤충)', '상과', '꿀벌상과']"
114,./data_v3/images/120100120220622135509.jpg,이미지 속 말벌상과인 생물은 무엇에 속할까,벌목,"ko.dbpedia/1362,ko.dbpedia/1369","['개미', 'subject', '벌목']:['개미', '상과', '말벌상과']"
115,./data_v3/images/110200520220621170815.jpg,피자는 어느 나라의 발명품이니,이탈리아,ko.dbpedia/583,"['피자', 'subject', '이탈리아의_발명품']"
116,./data_v3/images/110200820220621143425.jpg,이미지 속 캐나다 요리는 무엇일까,도넛,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
117,./data_v3/images/110200320220621151831.jpg,이미지 속 샌드위치의 일종은 뭐야,햄버거,ko.dbpedia/598,"['햄버거', 'subject', '샌드위치']"
118,./data_v3/images/110201020220621154343.jpg,이미지 속 중국 요리는 무엇이니,샌드위치,ko.dbpedia/546,"['샌드위치', 'subject', '중국_요리']"
119,./data_v3/images/120100320220622155816.jpg,나비는 어떤 동물이야,절지동물,ko.dbpedia/1414,"['나비', '문', '절지동물']"
120,./data_v3/images/120100220220622152003.jpg,이미지 안의 꿀벌상과에 속하는 곤충은 뭐야,벌,ko.dbpedia/1548,"['벌_(곤충)', '상과', '꿀벌상과']"
121,./data_v3/images/110101320220620131731.jpg,피아노는 무슨 악기에 속할까,현명악기,ko.dbpedia/755,"['피아노', 'subject', '현명악기']"
122,./data_v3/images/110100520220620181438.jpg,이미지 속 막명악기는 뭘까,드럼 세트,ko.dbpedia/655,"['드럼_세트', 'subject', '막명악기']"
123,./data_v3/images/110101020220621115300.jpg,월계관은 어느 시대의 왕관이니,고대 그리스,"ko.dbpedia/439,ko.dbpedia/441","['월계관', 'subject', '고대_그리스']:['월계관', 'subject', '왕관']"
124,./data_v3/images/110101220220620153211.jpg,오보에는 무엇을 사용하는 목관 악기야,겹리드,"ko.dbpedia/701,ko.dbpedia/702","['오보에', 'subject', '목관_악기']"
125,./data_v3/images/120100120220622135311.jpg,개미는 무엇에 속하는 곤충이니,말벌상과,ko.dbpedia/1369,"['개미', '상과', '말벌상과']"
126,./data_v3/images/110200820220621135830.jpg,이미지 속 캐나다 요리는 무엇이니,도넛,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
127,./data_v3/images/110201020220621155523.jpg,이미지 속 사람 이름을 딴 음식은 뭘까,샌드위치,ko.dbpedia/545,"['샌드위치', 'subject', '사람_이름을_딴_음식']"
128,./data_v3/images/110101520220620142621.jpg,이미지 속 기명악기는 뭐야,트롬본,ko.dbpedia/744,"['트롬본', 'subject', '기명악기']"
129,./data_v3/images/110100520220620155514.jpg,드럼은 무슨 악기에 속하니,막명악기,ko.dbpedia/655,"['드럼_세트', 'subject', '막명악기']"
130,./data_v3/images/120100220220624114404.jpg,꽃 위에 벌목 곤충은 어디에 속하니,꿀벌상과,"ko.dbpedia/1546,ko.dbpedia/1548","['벌_(곤충)', '목', '벌목_(곤충)']:['벌_(곤충)', '상과', '꿀벌상과']"
131,./data_v3/images/110500220220622141915.jpg,이미지 속 스코틀랜드의 발명품은 뭐지,자전거,ko.dbpedia/9511,"['자전거', 'subject', '스코틀랜드의_발명품']"
132,./data_v3/images/110101320220620124452.jpg,건반 악기는 어디에 속해,현명악기,"ko.dbpedia/755,ko.dbpedia/758","['피아노', 'subject', '현명악기']:['피아노', 'subject', '건반_악기']"
133,./data_v3/images/120100420220622180858.jpg,살아있는 화석이라고 불리는 곤충 이름은 뭘까,잠자리,ko.dbpedia/1622,"['잠자리', 'subject', '살아있는_화석']"
134,./data_v3/images/120100420220622183421.jpg,이미지 속 살아있는 화석에 해당하는 절지동물은 뭐야,잠자리,"ko.dbpedia/1622,ko.dbpedia/1627","['잠자리', 'subject', '살아있는_화석']:['잠자리', '문', '절지동물']"
135,./data_v3/images/110101320220620130142.jpg,피아노는 무엇에 속하는 걸까,현명악기,ko.dbpedia/755,"['피아노', 'subject', '현명악기']"
136,./data_v3/images/110101320220620131023.jpg,피아노는 무슨 악기일까,건반 악기,ko.dbpedia/758,"['피아노', 'subject', '건반_악기']"
137,./data_v3/images/110100720220620114058.jpg,이미지 내 기명악기는 음역이 몇이야,130,"ko.dbpedia/772,ko.dbpedia/773","['호른', 'subject', '기명악기']"
138,./data_v3/images/110101720220620181941.jpg,개는 무엇의 아종이야,회색늑대,ko.dbpedia/3206,"['개', 'subject', '회색늑대의_아종']"
139,./data_v3/images/110100220220620142328.jpg,이미지 속 재즈 음악에 사용되는 현악기는 뭐야,밴조,"ko.dbpedia/673,ko.dbpedia/674","['밴조', 'subject', '현악기']"
140,./data_v3/images/110101820220621114953.jpg,키보드를 연주하는 사람을 뭐라고 하니,키보디스트,"ko.dbpedia/730,ko.dbpedia/731","['키보드_(악기)', 'subject', '건반_악기']"
141,./data_v3/images/120100420220622183325.jpg,이미지 속 잠자리는 무엇에 해당하는 곤충이지,잠자리목,"ko.dbpedia/1623,ko.dbpedia/1624","['잠자리', 'subject', '잠자리목']:['잠자리', '강', '곤충']"
142,./data_v3/images/110200320220621151610.jpg,이미지 속 미국 요리는 뭐니,햄버거,ko.dbpedia/596,"['햄버거', 'subject', '미국_요리']"
143,./data_v3/images/110101020220620143549.jpg,아일랜드의 상징인 악기는 음역이 몇이야,150,"ko.dbpedia/765,ko.dbpedia/766","['하프', 'subject', '아일랜드의_상징']"
144,./data_v3/images/110101820220622105814.jpg,신시사이저는 무슨 악기야,전자 악기,ko.dbpedia/9584,"['신시사이저', 'subject', '전자_악기']"
145,./data_v3/images/110101820220621131047.jpg,키보드는 무슨 악기니,전자 악기,ko.dbpedia/732,"['키보드_(악기)', 'subject', '전자_악기']"
146,./data_v3/images/120100220220624115612.jpg,벌은 무슨 부류에 속하니,절지동물,ko.dbpedia/1547,"['벌_(곤충)', '문', '절지동물']"
147,./data_v3/images/110101020220621113836.jpg,이미지 속 음역이 150인 아일랜드를 상징하는 악기는 뭘까,하프,"ko.dbpedia/765,ko.dbpedia/766","['하프', 'subject', '아일랜드의_상징']"
148,./data_v3/images/110200720220621132037.jpg,이미지 속 양과자는 뭐야,프레첼,ko.dbpedia/578,"['프레첼', 'subject', '양과자']"
149,./data_v3/images/120100420220622175345.jpg,이미지 속 살아있는 화석은 뭘까,잠자리,ko.dbpedia/1622,"['잠자리', 'subject', '살아있는_화석']"
150,./data_v3/images/110201020220621152605.jpg,빵과 빵사이에 속을 채워넣는 샌드위치는 뭐야,클로즈드 샌드위치,ko.dbpedia/547,"['샌드위치', 'subject', '샌드위치']"
151,./data_v3/images/110200720220621133120.jpg,이미지 속 독일 요리는 무엇이니,프레첼,ko.dbpedia/575,"['프레첼', 'subject', '독일_요리']"
152,./data_v3/images/110100520220620162832.jpg,드럼은 어떤 악기니,막명악기,ko.dbpedia/655,"['드럼_세트', 'subject', '막명악기']"
153,./data_v3/images/120100220220622150616.jpg,이미지 속 동물에 해당하는 건 뭘까,벌,ko.dbpedia/1545,"['벌_(곤충)', '계', '동물']"
154,./data_v3/images/110100820220620132442.jpg,기타는 무슨 악기에 속할까,현명악기,ko.dbpedia/648,"['기타', 'subject', '현명악기']"
155,./data_v3/images/110200820220621141025.jpg,이미지 속 미국 요리는 뭐야,도넛,ko.dbpedia/522,"['도넛', 'subject', '미국_요리']"
156,./data_v3/images/110200520220621180210.jpg,피자는 어느 나라의 요리니,이탈리아,ko.dbpedia/582,"['피자', 'subject', '이탈리아_요리']"
157,./data_v3/images/110100220220620143131.jpg,밴조는 무슨 악기야,현명악기,ko.dbpedia/675,"['밴조', 'subject', '현명악기']"
158,./data_v3/images/110200520220621174322.jpg,이미지 속 식기에 해당하는 물건의 이름은 무엇일까,접시,ko.dbpedia/5006,"['접시', 'subject', '식기']"
159,./data_v3/images/110200320220621160003.jpg,이미지 속 독일의 길거리 음식은 뭐야,햄버거,"ko.dbpedia/595,ko.dbpedia/597","['햄버거', 'subject', '길거리_음식']:['햄버거', 'subject', '독일_요리']"
160,./data_v3/images/110200920220621151507.jpg,이미지 속 후식은 뭐야,케이크,ko.dbpedia/567,"['케이크', 'subject', '후식']"
161,./data_v3/images/110100120220620135251.jpg,아코디언은 무슨 악기니,기명악기,ko.dbpedia/690,"['아코디언', 'subject', '기명악기']"
162,./data_v3/images/110200820220621135420.jpg,이미지 속 캐나다 요리는 뭐야,도넛,ko.dbpedia/523,"['도넛', 'subject', '캐나다_요리']"
163,./data_v3/images/110200320220621152117.jpg,서양에서 많이 쓰며 음식을 집어 먹을 때 사용하는 식기는뭐야,포크,ko.dbpedia/5020,"['포크', 'subject', '식기']"
